,precision,recall,f1-score,support
UNO,1.0,1.0,1.0,4.0
DOS,1.0,0.75,0.8571428571428571,4.0
TRES,0.8333333333333334,1.0,0.9090909090909091,5.0
CUATRO,1.0,1.0,1.0,4.0
CINCO,1.0,1.0,1.0,5.0
SEIS,1.0,1.0,1.0,4.0
SIETE,1.0,1.0,1.0,5.0
OCHO,1.0,1.0,1.0,5.0
NUEVE,1.0,1.0,1.0,4.0
A,1.0,1.0,1.0,8.0
BIEN,1.0,1.0,1.0,5.0
COMER,1.0,1.0,1.0,4.0
CUANTOS_DIAS,1.0,1.0,1.0,5.0
HOTEL,1.0,1.0,1.0,4.0
CUANTAS_PERSONAS,1.0,1.0,1.0,5.0
RESERVACION,1.0,1.0,1.0,4.0
TAXI,1.0,1.0,1.0,4.0
TRANSPORTE,1.0,1.0,1.0,5.0
accuracy,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9880952380952381
macro avg,0.9907407407407409,0.9861111111111112,0.9870129870129871,84.0
weighted avg,0.9900793650793651,0.9880952380952381,0.9877860235003093,84.0
